OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,A_MEAN
25-1081,"Education Teachers, Postsecondary",detailed,117860,72562.57
21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,596390,52654
49-2092,"Electric Motor, Power Tool, and Related Repairers",detailed,24910,47569.74
17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,221480,66497.92
17-3012,Electrical and Electronics Drafters,detailed,40170,65881.38
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",detailed,6800,69762.42
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detailed,86080,63133.11
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detailed,42260,87632.54
17-2071,Electrical Engineers,detailed,433560,101358.72
49-9051,Electrical Power-Line Installers and Repairers,detailed,310670,75916.67
51-2023,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",detailed,748820,39183.25
47-2111,Electricians,detailed,2299510,63861.62
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,13310,63777.54
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",detailed,7490,42571.04
17-2072,"Electronics Engineers, Except Computer",detailed,215210,105079.2
25-2021,"Elementary School Teachers, Except Special Education",detailed,2609670,58957.79
47-4021,Elevator and Escalator Installers and Repairers,detailed,76630,86206
43-4061,"Eligibility Interviewers, Government Programs",detailed,299820,44141.1
39-4011,Embalmers,detailed,10590,52190
Nov-61,Emergency Management Directors,detailed,16460,78907.14
29-2041,Emergency Medical Technicians,detailed,464880,35684.33
29-1214,Emergency Medicine Physicians,detailed,68960,290330.09
51-2031,Engine and Other Machine Assemblers,detailed,106500,43891.95
25-1032,"Engineering Teachers, Postsecondary",detailed,69270,102435.17
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",detailed,156890,64850.61
17-2199,"Engineers, All Other",detailed,314250,97154.37
25-1123,"English Language and Literature Teachers, Postsecondary",detailed,116460,73451.33
17-3025,Environmental Engineering Technologists and Technicians,detailed,22260,55534.07
17-2081,Environmental Engineers,detailed,83410,96750.16
19-4091,"Environmental Science and Protection Technicians, Including Health",detailed,63020,49929.45
25-1053,"Environmental Science Teachers, Postsecondary",detailed,9820,90848.68
19-2041,"Environmental Scientists and Specialists, Including Health",detailed,147070,77580.89
19-1041,Epidemiologists,detailed,12200,83769.92
51-9194,Etchers and Engravers,detailed,7390,38099.82
53-7032,"Excavating and Loading Machine and Dragline Operators, Surface Mining",detailed,83820,53130.76
43-6011,Executive Secretaries and Executive Administrative Assistants,detailed,1054750,62766.64
39-9031,Exercise Trainers and Group Fitness Instructors,detailed,734850,43205.46
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",detailed,4410,56614.55
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,150860,39194.41
